registry_name,function_name,module,subsystem,category,signature,parameter_count,required_parameters,optional_parameters,parameter_types,possible_internal,internal_reason,description,keywords
regular_polygon_apothem,regular_polygon_apothem,math_engine.geometry,geometry,polygon_geometry,"(number_of_sides, side_length)",2,"number_of_sides, side_length",,"unknown, numeric_value",False,,Calculate the apothem of a regular polygon.,"polygon, apothem"
regular_polygon_area,regular_polygon_area,math_engine.geometry,geometry,polygon_geometry,"(number_of_sides, side_length)",2,"number_of_sides, side_length",,"unknown, numeric_value",False,,Calculate the area of a regular polygon.,"polygon, regular, area"
regular_polygon_side_from_apothem,regular_polygon_side_from_apothem,math_engine.geometry,geometry,polygon_geometry,"(number_of_sides, apothem)",2,"number_of_sides, apothem",,"unknown, numeric_value",False,,Calculate regular polygon side length from its apothem.,"polygon, apothem, side length"
classify_polygon,classify_polygon,math_engine.geometry,geometry,polygon_geometry,(number_of_sides),1,number_of_sides,,unknown,False,,Classify a polygon by its number of sides.,"polygon, classify, sides"
polygon_perimeter,polygon_perimeter,math_engine.geometry,geometry,polygon_geometry,(side_lengths),1,side_lengths,,unknown,False,,Calculate a polygon's perimeter from its side lengths.,"polygon, perimeter, sides"
shoelace_area,shoelace_area,math_engine.geometry,geometry,polygon_geometry,(points),1,points,,point,False,,Calculate polygon area using the shoelace formula.,"polygon, shoelace, coordinates, area"
rectangle_diagonal,rectangle_diagonal,math_engine.geometry,geometry,quadrilateral_geometry,"(length, width)",2,"length, width",,"numeric_value, numeric_value",False,,Calculate the diagonal of a rectangle.,"rectangle, diagonal"
square_diagonal,square_diagonal,math_engine.geometry,geometry,quadrilateral_geometry,(side),1,side,,numeric_value,False,,Calculate the diagonal of a square.,"square, diagonal"
rhombus_perimeter,rhombus_perimeter,math_engine.geometry,geometry,quadrilateral_geometry,(side),1,side,,numeric_value,False,,Calculate the perimeter of a rhombus.,"rhombus, perimeter"
parallelogram_perimeter,parallelogram_perimeter,math_engine.geometry,geometry,quadrilateral_geometry,"(side_a, side_b)",2,"side_a, side_b",,"unknown, unknown",False,,Calculate the perimeter of a parallelogram.,"parallelogram, perimeter"
trapezoid_perimeter,trapezoid_perimeter,math_engine.geometry,geometry,quadrilateral_geometry,"(side_a, side_b, side_c, side_d)",4,"side_a, side_b, side_c, side_d",,"unknown, unknown, unknown, unknown",False,,Calculate the perimeter of a trapezoid.,"trapezoid, perimeter"
kite_area,kite_area,math_engine.geometry,geometry,quadrilateral_geometry,"(diagonal_1, diagonal_2)",2,"diagonal_1, diagonal_2",,"unknown, unknown",False,,Calculate the area of a kite.,"kite, area, diagonals"
kite_perimeter,kite_perimeter,math_engine.geometry,geometry,quadrilateral_geometry,"(side_a, side_b)",2,"side_a, side_b",,"unknown, unknown",False,,Calculate the perimeter of a kite.,"kite, perimeter"
quadrilateral_perimeter,quadrilateral_perimeter,math_engine.geometry,geometry,quadrilateral_geometry,"(side_a, side_b, side_c, side_d)",4,"side_a, side_b, side_c, side_d",,"unknown, unknown, unknown, unknown",False,,Calculate the perimeter of a quadrilateral.,"quadrilateral, perimeter"
translate_point,translate_point,math_engine.geometry,geometry,transformations,"(x, y, delta_x, delta_y)",4,"x, y, delta_x, delta_y",,"variable, variable, unknown, unknown",False,,Translate a point in the coordinate plane.,"translate, translation, point"
reflect_x_axis,reflect_x_axis,math_engine.geometry,geometry,transformations,"(x, y)",2,"x, y",,"variable, variable",False,,Reflect a point across the x-axis.,"reflect, x axis"
reflect_y_axis,reflect_y_axis,math_engine.geometry,geometry,transformations,"(x, y)",2,"x, y",,"variable, variable",False,,Reflect a point across the y-axis.,"reflect, y axis"
reflect_origin,reflect_origin,math_engine.geometry,geometry,transformations,"(x, y)",2,"x, y",,"variable, variable",False,,Reflect a point through the origin.,"reflect, origin"
rotate_point_90,rotate_point_90,math_engine.geometry,geometry,transformations,"(x, y)",2,"x, y",,"variable, variable",False,,Rotate a point 90 degrees.,"rotate, rotation, 90 degrees"
rotate_point_180,rotate_point_180,math_engine.geometry,geometry,transformations,"(x, y)",2,"x, y",,"variable, variable",False,,Rotate a point 180 degrees.,"rotate, rotation, 180 degrees"
rotate_point_270,rotate_point_270,math_engine.geometry,geometry,transformations,"(x, y)",2,"x, y",,"variable, variable",False,,Rotate a point 270 degrees.,"rotate, rotation, 270 degrees"
rotate_point,rotate_point,math_engine.geometry,geometry,transformations,"(x, y, angle_degrees)",3,"x, y, angle_degrees",,"variable, variable, angle",False,,Rotate a point by an arbitrary angle.,"rotate, rotation, point, angle"
dilate_point,dilate_point,math_engine.geometry,geometry,transformations,"(x, y, scale_factor)",3,"x, y, scale_factor",,"variable, variable, numeric_value",False,,Dilate a point about the origin.,"dilate, dilation, scale factor"
dilate_point_about_center,dilate_point_about_center,math_engine.geometry,geometry,transformations,"(x, y, center_x, center_y, scale_factor)",5,"x, y, center_x, center_y, scale_factor",,"variable, variable, unknown, unknown, numeric_value",False,,Dilate a point about a specified center.,"dilate, dilation, center, scale factor"
translate_points,translate_points,math_engine.geometry,geometry,transformations,"(points, delta_x, delta_y)",3,"points, delta_x, delta_y",,"point, unknown, unknown",False,,Translate multiple points.,"translate, points, translation"
scale_factor,scale_factor,math_engine.geometry,geometry,similarity,"(original_length, new_length)",2,"original_length, new_length",,"unknown, unknown",False,,Calculate the scale factor between similar figures.,"scale factor, similar figures"
similar_figure_length,similar_figure_length,math_engine.geometry,geometry,similarity,"(original_length, scale_factor_value)",2,"original_length, scale_factor_value",,"unknown, unknown",False,,Calculate a corresponding length in similar figures.,"similar figures, length, scale factor"
similar_figure_area,similar_figure_area,math_engine.geometry,geometry,similarity,"(original_area, scale_factor_value)",2,"original_area, scale_factor_value",,"unknown, unknown",False,,Calculate corresponding area using a scale factor.,"similar figures, area, scale factor"
similar_figure_volume,similar_figure_volume,math_engine.geometry,geometry,similarity,"(original_volume, scale_factor_value)",2,"original_volume, scale_factor_value",,"unknown, unknown",False,,Calculate corresponding volume using a scale factor.,"similar figures, volume, scale factor"
triangular_prism_volume,triangular_prism_volume,math_engine.geometry,geometry,solid_geometry,"(triangle_base, triangle_height, prism_length)",3,"triangle_base, triangle_height, prism_length",,"angle, angle, unknown",False,,Calculate triangular prism volume.,"triangular prism, volume"
triangular_prism_surface_area,triangular_prism_surface_area,math_engine.geometry,geometry,solid_geometry,"(side_a, side_b, side_c, triangle_base, triangle_height, prism_length)",6,"side_a, side_b, side_c, triangle_base, triangle_height, prism_length",,"unknown, unknown, unknown, angle, angle, unknown",False,,Calculate triangular prism surface area.,"triangular prism, surface area"
prism_surface_area,prism_surface_area,math_engine.geometry,geometry,solid_geometry,"(base_area, base_perimeter, height)",3,"base_area, base_perimeter, height",,"unknown, unknown, numeric_value",False,,Calculate prism surface area.,"prism, surface area"
pyramid_volume,pyramid_volume,math_engine.geometry,geometry,solid_geometry,"(base_area, height)",2,"base_area, height",,"unknown, numeric_value",False,,Calculate pyramid volume.,"pyramid, volume"
rectangular_pyramid_volume,rectangular_pyramid_volume,math_engine.geometry,geometry,solid_geometry,"(length, width, height)",3,"length, width, height",,"numeric_value, numeric_value, numeric_value",False,,Calculate rectangular pyramid volume.,"rectangular pyramid, volume"
cone_slant_height,cone_slant_height,math_engine.geometry,geometry,solid_geometry,"(radius, height)",2,"radius, height",,"numeric_value, numeric_value",False,,Calculate the slant height of a cone.,"cone, slant height"
cylinder_lateral_area,cylinder_lateral_area,math_engine.geometry,geometry,solid_geometry,"(radius, height)",2,"radius, height",,"numeric_value, numeric_value",False,,Calculate the lateral area of a cylinder.,"cylinder, lateral area"
cone_lateral_area,cone_lateral_area,math_engine.geometry,geometry,solid_geometry,"(radius, height)",2,"radius, height",,"numeric_value, numeric_value",False,,Calculate the lateral area of a cone.,"cone, lateral area"
hemisphere_curved_surface_area,hemisphere_curved_surface_area,math_engine.geometry,geometry,solid_geometry,(radius),1,radius,,numeric_value,False,,Calculate the curved surface area of a hemisphere.,"hemisphere, curved surface area"
cone_frustum_volume,cone_frustum_volume,math_engine.geometry,geometry,solid_geometry,"(radius_1, radius_2, height)",3,"radius_1, radius_2, height",,"unknown, unknown, numeric_value",False,,Calculate the volume of a conical frustum.,"cone, frustum, volume"
cone_frustum_surface_area,cone_frustum_surface_area,math_engine.geometry,geometry,solid_geometry,"(radius_1, radius_2, height)",3,"radius_1, radius_2, height",,"unknown, unknown, numeric_value",False,,Calculate the surface area of a conical frustum.,"cone, frustum, surface area"
regular_tetrahedron_volume,regular_tetrahedron_volume,math_engine.geometry,geometry,solid_geometry,(side),1,side,,numeric_value,False,,Calculate regular tetrahedron volume.,"tetrahedron, volume"
regular_tetrahedron_surface_area,regular_tetrahedron_surface_area,math_engine.geometry,geometry,solid_geometry,(side),1,side,,numeric_value,False,,Calculate regular tetrahedron surface area.,"tetrahedron, surface area"
angle_of_depression,angle_of_depression,math_engine.trigonometry,trigonometry,angle_fundamentals,"(vertical_drop, horizontal_distance)",2,"vertical_drop, horizontal_distance",,"unknown, unknown",False,,Find angle of depression.,"angle_of_depression, angle of depression, angle, of, depression"
angle_of_elevation,angle_of_elevation,math_engine.trigonometry,trigonometry,angle_fundamentals,"(vertical_height, horizontal_distance)",2,"vertical_height, horizontal_distance",,"unknown, unknown",False,,Find angle of elevation.,"angle_of_elevation, angle of elevation, angle, of, elevation"
angle_quadrant_degrees,angle_quadrant_degrees,math_engine.trigonometry,trigonometry,angle_fundamentals,(degrees),1,degrees,,unknown,False,,Determine the quadrant of an angle.,"angle_quadrant_degrees, angle quadrant degrees, angle, quadrant, degrees"
arccosecant,arccosecant,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(value, output_unit='radians')",2,value,output_unit,"numeric_value, unknown",False,,Calculate inverse cosecant.,arccosecant
arccosine,arccosine,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(value, output_unit='radians')",2,value,output_unit,"numeric_value, unknown",False,,Calculate inverse cosine.,arccosine
arccotangent,arccotangent,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(value, output_unit='radians')",2,value,output_unit,"numeric_value, unknown",False,,Principal inverse cotangent.,arccotangent
arcsecant,arcsecant,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(value, output_unit='radians')",2,value,output_unit,"numeric_value, unknown",False,,Calculate inverse secant.,arcsecant
arcsine,arcsine,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(value, output_unit='radians')",2,value,output_unit,"numeric_value, unknown",False,,Calculate inverse sine.,arcsine
arctangent,arctangent,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(value, output_unit='radians')",2,value,output_unit,"numeric_value, unknown",False,,Calculate inverse tangent.,arctangent
bearing_from_vector,bearing_from_vector,math_engine.trigonometry,trigonometry,vector_trigonometry,"(x_component, y_component)",2,"x_component, y_component",,"unknown, unknown",False,,Calculate compass bearing,"bearing_from_vector, bearing from vector, bearing, from, vector"
bearing_to_direction_angle,bearing_to_direction_angle,math_engine.trigonometry,trigonometry,angle_fundamentals,(bearing),1,bearing,,angle,False,,Convert compass bearing to standard,"bearing_to_direction_angle, bearing to direction angle, bearing, to, direction, angle"
cartesian_to_polar,cartesian_to_polar,math_engine.trigonometry,trigonometry,polar_coordinates,"(x, y, angle_unit='radians')",3,"x, y",angle_unit,"variable, variable, angle",False,,Convert Cartesian coordinates to polar.,"cartesian_to_polar, cartesian to polar, cartesian, to, polar"
cofunction_cosine,cofunction_cosine,math_engine.trigonometry,trigonometry,trigonometry_utilities,(angle),1,angle,,angle,False,,cos(pi/2 - theta) = sin(theta),"cofunction_cosine, cofunction cosine, cofunction, cosine"
cofunction_sine,cofunction_sine,math_engine.trigonometry,trigonometry,trigonometry_utilities,(angle),1,angle,,angle,False,,sin(pi/2 - theta) = cos(theta),"cofunction_sine, cofunction sine, cofunction, sine"
cosecant,cosecant,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle, unit='radians')",2,angle,unit,"angle, unknown",False,,Calculate cosecant.,cosecant
cosine,cosine,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle, unit='radians')",2,angle,unit,"angle, unknown",False,,Calculate cosine.,cosine
cosine_difference,cosine_difference,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle_a, angle_b)",2,"angle_a, angle_b",,"angle, angle",False,,cos(A - B),"cosine_difference, cosine difference, cosine, difference"
cosine_double_angle,cosine_double_angle,math_engine.trigonometry,trigonometry,angle_fundamentals,(angle),1,angle,,angle,False,,cos(2theta),"cosine_double_angle, cosine double angle, cosine, double, angle"
cosine_graph_properties,cosine_graph_properties,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(A, B, C=0, D=0)",4,"A, B","C, D","bound_or_value, bound_or_value, unknown, unknown",False,,Analyze:,"cosine_graph_properties, cosine graph properties, cosine, graph, properties"
cosine_half_angle,cosine_half_angle,math_engine.trigonometry,trigonometry,angle_fundamentals,(angle),1,angle,,angle,False,,Principal positive half-angle form.,"cosine_half_angle, cosine half angle, cosine, half, angle"
cosine_power_reduction,cosine_power_reduction,math_engine.trigonometry,trigonometry,trigonometry_utilities,(angle),1,angle,,angle,False,,cos^2(theta) power-reduction identity.,"cosine_power_reduction, cosine power reduction, cosine, power, reduction"
cosine_sum,cosine_sum,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle_a, angle_b)",2,"angle_a, angle_b",,"angle, angle",False,,cos(A + B),"cosine_sum, cosine sum, cosine, sum"
cotangent,cotangent,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle, unit='radians')",2,angle,unit,"angle, unknown",False,,Calculate cotangent.,cotangent
coterminal_angle_degrees,coterminal_angle_degrees,math_engine.trigonometry,trigonometry,angle_fundamentals,"(degrees, rotations=1)",2,degrees,rotations,"unknown, unknown",False,,Generate positive and negative coterminal angles.,"coterminal_angle_degrees, coterminal angle degrees, coterminal, angle, degrees"
coterminal_angle_radians,coterminal_angle_radians,math_engine.trigonometry,trigonometry,angle_fundamentals,"(radians, rotations=1)",2,radians,rotations,"unknown, unknown",False,,Generate positive and negative coterminal angles.,"coterminal_angle_radians, coterminal angle radians, coterminal, angle, radians"
decimal_trig_value,decimal_trig_value,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(function_name, angle, unit='degrees', digits=10)",4,"function_name, angle","unit, digits","unknown, angle, unknown, unknown",False,,Return numerical trig value.,"decimal_trig_value, decimal trig value, decimal, trig, value"
degrees_to_radians,degrees_to_radians,math_engine.trigonometry,trigonometry,angle_fundamentals,(degrees),1,degrees,,unknown,False,,Convert degrees to radians.,"degrees_to_radians, degrees to radians, degrees, to, radians"
detect_trig_functions,detect_trig_functions,math_engine.trigonometry,trigonometry,trigonometry_utilities,(expression),1,expression,,expression,True,Operation name begins with helper prefix 'detect_'.,Detect trig functions used in an expression.,"detect_trig_functions, detect trig functions, detect, trig, functions"
direction_angle_to_bearing,direction_angle_to_bearing,math_engine.trigonometry,trigonometry,angle_fundamentals,(direction_angle),1,direction_angle,,vector,False,,Convert a standard mathematical,"direction_angle_to_bearing, direction angle to bearing, direction, angle, to, bearing"
evaluate_trig_function,evaluate_trig_function,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(function_name, angle, unit='radians', decimal=False)",4,"function_name, angle","unit, decimal","unknown, angle, unknown, unknown",False,,Evaluate a named trig function.,"evaluate_trig_function, evaluate trig function, evaluate, trig, function"
even_odd_identity,even_odd_identity,math_engine.trigonometry,trigonometry,trigonometric_identities,"(function_name, angle)",2,"function_name, angle",,"unknown, angle",False,,Evaluate trig function at -theta.,"even_odd_identity, even odd identity, even, odd, identity"
exact_trig_value,exact_trig_value,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(function_name, angle, unit='degrees')",3,"function_name, angle",unit,"unknown, angle, unknown",False,,Return an exact trig value.,"exact_trig_value, exact trig value, exact, trig, value"
expand_trig_expression,expand_trig_expression,math_engine.trigonometry,trigonometry,trigonometry_utilities,(expression),1,expression,,expression,False,,Expand trig expressions using,"expand_trig_expression, expand trig expression, expand, trig, expression"
law_of_cosines_angle,law_of_cosines_angle,math_engine.trigonometry,trigonometry,angle_fundamentals,"(opposite_side, adjacent_side_1, adjacent_side_2, output_unit='degrees')",4,"opposite_side, adjacent_side_1, adjacent_side_2",output_unit,"unknown, unknown, unknown, unknown",False,,Find an angle using the Law of Cosines.,"law_of_cosines_angle, law of cosines angle, law, of, cosines, angle"
law_of_cosines_side,law_of_cosines_side,math_engine.trigonometry,trigonometry,law_of_cosines,"(side_a, side_b, included_angle, unit='degrees')",4,"side_a, side_b, included_angle",unit,"unknown, unknown, angle, unknown",False,,Find the side opposite the,"law_of_cosines_side, law of cosines side, law, of, cosines, side"
law_of_sines_angle,law_of_sines_angle,math_engine.trigonometry,trigonometry,angle_fundamentals,"(target_side, known_side, known_angle, output_unit='degrees')",4,"target_side, known_side, known_angle",output_unit,"unknown, unknown, angle, unknown",False,,Find an angle using the Law of Sines.,"law_of_sines_angle, law of sines angle, law, of, sines, angle"
law_of_sines_side,law_of_sines_side,math_engine.trigonometry,trigonometry,law_of_sines,"(known_side, known_angle, target_angle, unit='degrees')",4,"known_side, known_angle, target_angle",unit,"unknown, angle, angle, unknown",False,,Find a missing side using:,"law_of_sines_side, law of sines side, law, of, sines, side"
law_of_sines_ssa_solutions,law_of_sines_ssa_solutions,math_engine.trigonometry,trigonometry,law_of_sines,"(known_side, known_angle, target_side)",3,"known_side, known_angle, target_side",,"unknown, angle, unknown",False,,Determine possible SSA angle solutions.,"law_of_sines_ssa_solutions, law of sines ssa solutions, law, of, sines, ssa, solutions"
normalize_degrees,normalize_degrees,math_engine.trigonometry,trigonometry,angle_fundamentals,(degrees),1,degrees,,unknown,False,,Normalize an angle to:,"normalize_degrees, normalize degrees, normalize, degrees"
normalize_radians,normalize_radians,math_engine.trigonometry,trigonometry,angle_fundamentals,(radians),1,radians,,unknown,False,,Normalize an angle to:,"normalize_radians, normalize radians, normalize, radians"
parse_angle,parse_angle,math_engine.trigonometry,trigonometry,angle_fundamentals,(value),1,value,,numeric_value,True,Operation name begins with helper prefix 'parse_'.,Convert input into a SymPy expression.,"parse_angle, parse angle, parse, angle"
polar_angle,polar_angle,math_engine.trigonometry,trigonometry,angle_fundamentals,"(x, y, output_unit='radians')",3,"x, y",output_unit,"variable, variable, unknown",False,,Calculate polar angle using atan2.,"polar_angle, polar angle, polar, angle"
polar_radius,polar_radius,math_engine.trigonometry,trigonometry,polar_coordinates,"(x, y)",2,"x, y",,"variable, variable",False,,Calculate polar radius.,"polar_radius, polar radius, polar, radius"
polar_to_cartesian,polar_to_cartesian,math_engine.trigonometry,trigonometry,polar_coordinates,"(radius, angle, angle_unit='radians')",3,"radius, angle",angle_unit,"numeric_value, angle, angle",False,,Convert polar coordinates,"polar_to_cartesian, polar to cartesian, polar, to, cartesian"
product_to_sum_cos_cos,product_to_sum_cos_cos,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle_a, angle_b)",2,"angle_a, angle_b",,"angle, angle",False,,Convert cos(A)cos(B) to a sum.,"product_to_sum_cos_cos, product to sum cos cos, product, to, sum, cos"
product_to_sum_sin_sin,product_to_sum_sin_sin,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle_a, angle_b)",2,"angle_a, angle_b",,"angle, angle",False,,Convert sin(A)sin(B) to a sum.,"product_to_sum_sin_sin, product to sum sin sin, product, to, sum, sin"
pythagorean_identity_sin_cos,pythagorean_identity_sin_cos,math_engine.trigonometry,trigonometry,trigonometric_identities,(angle),1,angle,,angle,False,,Evaluate:,"pythagorean_identity_sin_cos, pythagorean identity sin cos, pythagorean, identity, sin, cos"
pythagorean_identity_tan_sec,pythagorean_identity_tan_sec,math_engine.trigonometry,trigonometry,trigonometric_identities,(angle),1,angle,,angle,False,,Evaluate:,"pythagorean_identity_tan_sec, pythagorean identity tan sec, pythagorean, identity, tan, sec"
quotient_identity,quotient_identity,math_engine.trigonometry,trigonometry,trigonometric_identities,"(function_name, angle)",2,"function_name, angle",,"unknown, angle",False,,Return tangent or cotangent,"quotient_identity, quotient identity, quotient, identity"
radians_to_degrees,radians_to_degrees,math_engine.trigonometry,trigonometry,angle_fundamentals,(radians),1,radians,,unknown,False,,Convert radians to degrees.,"radians_to_degrees, radians to degrees, radians, to, degrees"
reciprocal_identity,reciprocal_identity,math_engine.trigonometry,trigonometry,trigonometric_identities,"(function_name, angle)",2,"function_name, angle",,"unknown, angle",False,,Return the reciprocal identity value.,"reciprocal_identity, reciprocal identity, reciprocal, identity"
reference_angle_degrees,reference_angle_degrees,math_engine.trigonometry,trigonometry,angle_fundamentals,(degrees),1,degrees,,unknown,False,,Calculate the reference angle in degrees.,"reference_angle_degrees, reference angle degrees, reference, angle, degrees"
reference_angle_radians,reference_angle_radians,math_engine.trigonometry,trigonometry,angle_fundamentals,(radians),1,radians,,unknown,False,,Calculate the reference angle in radians.,"reference_angle_radians, reference angle radians, reference, angle, radians"
rewrite_trig_as_sin_cos,rewrite_trig_as_sin_cos,math_engine.trigonometry,trigonometry,trigonometric_identities,(expression),1,expression,,expression,False,,Rewrite trigonometric expressions,"rewrite_trig_as_sin_cos, rewrite trig as sin cos, rewrite, trig, as, sin, cos"
right_triangle_adjacent,right_triangle_adjacent,math_engine.trigonometry,trigonometry,angle_fundamentals,"(angle, hypotenuse, unit='degrees')",3,"angle, hypotenuse",unit,"angle, unknown, unknown",False,,Find adjacent side.,"right_triangle_adjacent, right triangle adjacent, right, triangle, adjacent"
right_triangle_angle_from_sides,right_triangle_angle_from_sides,math_engine.trigonometry,trigonometry,angle_fundamentals,"(opposite, adjacent, output_unit='degrees')",3,"opposite, adjacent",output_unit,"unknown, unknown, unknown",False,,Find an acute angle from opposite,"right_triangle_angle_from_sides, right triangle angle from sides, right, triangle, angle, from, sides"
right_triangle_cosine,right_triangle_cosine,math_engine.trigonometry,trigonometry,angle_fundamentals,"(adjacent, hypotenuse)",2,"adjacent, hypotenuse",,"unknown, unknown",False,,cos(theta) = adjacent / hypotenuse,"right_triangle_cosine, right triangle cosine, right, triangle, cosine"
right_triangle_opposite,right_triangle_opposite,math_engine.trigonometry,trigonometry,angle_fundamentals,"(angle, hypotenuse, unit='degrees')",3,"angle, hypotenuse",unit,"angle, unknown, unknown",False,,Find opposite side.,"right_triangle_opposite, right triangle opposite, right, triangle, opposite"
right_triangle_sine,right_triangle_sine,math_engine.trigonometry,trigonometry,angle_fundamentals,"(opposite, hypotenuse)",2,"opposite, hypotenuse",,"unknown, unknown",False,,sin(theta) = opposite / hypotenuse,"right_triangle_sine, right triangle sine, right, triangle, sine"
right_triangle_tangent,right_triangle_tangent,math_engine.trigonometry,trigonometry,angle_fundamentals,"(opposite, adjacent)",2,"opposite, adjacent",,"unknown, unknown",False,,tan(theta) = opposite / adjacent,"right_triangle_tangent, right triangle tangent, right, triangle, tangent"
secant,secant,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle, unit='radians')",2,angle,unit,"angle, unknown",False,,Calculate secant.,secant
simplify_trig,simplify_trig,math_engine.trigonometry,trigonometry,trigonometric_identities,(expression),1,expression,,expression,False,,Simplify a trigonometric expression.,"simplify_trig, simplify trig, simplify, trig"
sine,sine,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle, unit='radians')",2,angle,unit,"angle, unknown",False,,Calculate sine.,sine
sine_difference,sine_difference,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle_a, angle_b)",2,"angle_a, angle_b",,"angle, angle",False,,sin(A - B),"sine_difference, sine difference, sine, difference"
sine_double_angle,sine_double_angle,math_engine.trigonometry,trigonometry,angle_fundamentals,(angle),1,angle,,angle,False,,sin(2theta),"sine_double_angle, sine double angle, sine, double, angle"
sine_graph_properties,sine_graph_properties,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(A, B, C=0, D=0)",4,"A, B","C, D","bound_or_value, bound_or_value, unknown, unknown",False,,Analyze:,"sine_graph_properties, sine graph properties, sine, graph, properties"
sine_half_angle,sine_half_angle,math_engine.trigonometry,trigonometry,angle_fundamentals,(angle),1,angle,,angle,False,,Principal positive half-angle form.,"sine_half_angle, sine half angle, sine, half, angle"
sine_power_reduction,sine_power_reduction,math_engine.trigonometry,trigonometry,trigonometry_utilities,(angle),1,angle,,angle,False,,sin^2(theta) power-reduction identity.,"sine_power_reduction, sine power reduction, sine, power, reduction"
sine_sum,sine_sum,math_engine.trigonometry,trigonometry,trigonometry_utilities,"(angle_a, angle_b)",2,"angle_a, angle_b",,"angle, angle",False,,sin(A + B),"sine_sum, sine sum, sine, sum"
solve_cosine_equation,solve_cosine_equation,math_engine.trigonometry,trigonometry,trigonometric_equations,"(value, variable='x', domain=Reals)",3,value,"variable, domain","numeric_value, variable, unknown",False,,Solve:,"solve_cosine_equation, solve cosine equation, solve, cosine, equation"
solve_right_triangle,solve_right_triangle,math_engine.trigonometry,trigonometry,angle_fundamentals,"(opposite, adjacent)",2,"opposite, adjacent",,"unknown, unknown",False,,Solve a right triangle from,"solve_right_triangle, solve right triangle, solve, right, triangle"
solve_sine_equation,solve_sine_equation,math_engine.trigonometry,trigonometry,trigonometric_equations,"(value, variable='x', domain=Reals)",3,value,"variable, domain","numeric_value, variable, unknown",False,,Solve:,"solve_sine_equation, solve sine equation, solve, sine, equation"
solve_tangent_equation,solve_tangent_equation,math_engine.trigonometry,trigonometry,trigonometric_equations,"(value, variable='x', domain=Reals)",3,value,"variable, domain","numeric_value, variable, unknown",False,,Solve:,"solve_tangent_equation, solve tangent equation, solve, tangent, equation"
solve_triangle_aas,solve_triangle_aas,math_engine.trigonometry,trigonometry,angle_fundamentals,"(angle_a, angle_b, side_a)",3,"angle_a, angle_b, side_a",,"angle, angle, unknown",False,,"Solve AAS from angles A, B and side A.","solve_triangle_aas, solve triangle aas, solve, triangle, aas"
solve_triangle_asa,solve_triangle_asa,math_engine.trigonometry,trigonometry,angle_fundamentals,"(angle_a, angle_b, included_side)",3,"angle_a, angle_b, included_side",,"angle, angle, unknown",False,,Solve ASA when included_side is side C.,"solve_triangle_asa, solve triangle asa, solve, triangle, asa"
solve_triangle_sas,solve_triangle_sas,math_engine.trigonometry,trigonometry,angle_fundamentals,"(side_a, side_b, included_angle)",3,"side_a, side_b, included_angle",,"unknown, unknown, angle",False,,Solve a triangle from SAS.,"solve_triangle_sas, solve triangle sas, solve, triangle, sas"
solve_triangle_ssa,solve_triangle_ssa,math_engine.trigonometry,trigonometry,angle_fundamentals,"(known_side, known_angle, second_side)",3,"known_side, known_angle, second_side",,"unknown, angle, unknown",False,,Solve the ambiguous SSA case.,"solve_triangle_ssa, solve triangle ssa, solve, triangle, ssa"
solve_triangle_sss,solve_triangle_sss,math_engine.trigonometry,trigonometry,angle_fundamentals,"(side_a, side_b, side_c)",3,"side_a, side_b, side_c",,"unknown, unknown, unknown",False,,Solve a triangle from SSS.,"solve_triangle_sss, solve triangle sss, solve, triangle, sss"
solve_trig_equation,solve_trig_equation,math_engine.trigonometry,trigonometry,trigonometric_equations,"(left_side, right_side=0, variable='x', domain=Reals)",4,left_side,"right_side, variable, domain","expression, expression, variable, unknown",False,,Solve a trigonometric equation.,"solve_trig_equation, solve trig equation, solve, trig, equation"
solve_trig_interval,solve_trig_interval,math_engine.trigonometry,trigonometry,trigonometric_equations,"(left_side, right_side, start, end, variable='x')",5,"left_side, right_side, start, end",variable,"expression, expression, bound_or_value, bound_or_value, variable",False,,Solve a trig equation over a,"solve_trig_interval, solve trig interval, solve, trig, interval"
standard_unit_circle_angles,standard_unit_circle_angles,math_engine.trigonometry,trigonometry,angle_fundamentals,(),0,,,,False,,Return common unit-circle angles,"standard_unit_circle_angles, standard unit circle angles, standard, unit, circle, angles"
